system:index,IGBP,b0,b10,b100,b200,b30,b60,site,.geo
0000423faf8b64bcda03,ENF,128,131,149,151,143,146,FR-LBr,"{""type"":""Point"",""coordinates"":[-0.7693,44.7171]}"
0000edab0876201f3e3f,OSH,126,128,149,149,143,147,ES-LJu,"{""type"":""Point"",""coordinates"":[-2.7521,36.9266]}"
0000f965e94f3e72cbcc,OSH,126,128,146,148,142,142,ES-LgS,"{""type"":""Point"",""coordinates"":[-2.9657999999999993,37.0979]}"
00004d45dd5968d46d0d,OSH,126,128,140,142,133,135,ES-Ln2,"{""type"":""Point"",""coordinates"":[-3.4758000000000004,36.9695]}"
0000d3126d0ea0ea999d,OSH,158,159,162,162,160,161,ES-Amo,"{""type"":""Point"",""coordinates"":[-2.252299999999999,36.8336]}"
0000c3f18f1f84b28b00,SAV,149,151,150,152,152,150,SN-Dhr,"{""type"":""Point"",""coordinates"":[-15.432200000000007,15.4028]}"
000072e75b3e5ab0e431,EBF,117,120,129,127,126,132,GH-Ank,"{""type"":""Point"",""coordinates"":[-2.694200000000001,5.2684999999999995]}"
0000a080247e09febee8,EBF,120,122,159,160,132,151,FR-Pue,"{""type"":""Point"",""coordinates"":[3.5957999999999983,43.7414]}"
00000b9b6122ab8b9d44,ENF,99,105,121,122,114,116,IT-SRo,"{""type"":""Point"",""coordinates"":[10.2844,43.7279]}"
0000afd77d1e31ca12c8,ENF,100,106,135,136,113,132,IT-SR2,"{""type"":""Point"",""coordinates"":[10.291,43.732000000000006]}"
00001e30dcd1ac6dc7b0,CSH,120,124,138,140,131,134,IT-Noe,"{""type"":""Point"",""coordinates"":[8.1515,40.6061]}"
0000917f443c0f960eb1,EBF,111,115,145,146,126,141,IT-Cpz,"{""type"":""Point"",""coordinates"":[12.3761,41.7052]}"
000045d528d71df1cd39,EBF,117,123,145,147,133,142,IT-Cp2,"{""type"":""Point"",""coordinates"":[12.357299999999995,41.70429999999999]}"
000081e67206b52dd1b1,DBF,138,138,152,152,147,150,IT-CA1,"{""type"":""Point"",""coordinates"":[12.026599999999998,42.380399999999995]}"
0000c84624d7651ca2f5,CRO,148,148,157,157,154,155,IT-CA2,"{""type"":""Point"",""coordinates"":[12.026000000000003,42.3772]}"
00006acdc2f370252da7,DBF,135,136,151,153,144,149,IT-CA3,"{""type"":""Point"",""coordinates"":[12.0222,42.38]}"
0000f494963fb9e814db,DBF,132,136,148,149,142,146,IT-Ro2,"{""type"":""Point"",""coordinates"":[11.920899999999998,42.3903]}"
00004e1e8bcb86ecc72f,DBF,136,137,152,154,148,149,IT-Ro1,"{""type"":""Point"",""coordinates"":[11.93,42.4081]}"
0000cb4c1fdc5c023755,DBF,109,113,143,145,123,136,IT-Col,"{""type"":""Point"",""coordinates"":[13.5881,41.84940000000001]}"
0000a32b7d3a40b35fbf,CRO,154,154,161,161,161,157,IT-BCi,"{""type"":""Point"",""coordinates"":[14.957400000000003,40.5238]}"
000027350c546462761e,SAV,149,150,153,152,151,154,SD-Dem,"{""type"":""Point"",""coordinates"":[30.4783,13.282899999999998]}"
00007f5683b12c0e9037,DBF,146,148,147,147,151,149,ZM-Mon,"{""type"":""Point"",""coordinates"":[23.2528,-15.4378]}"
000047137e78afc1314a,SAV,113,116,116,114,117,118,CG-Tch,"{""type"":""Point"",""coordinates"":[11.6564,-4.2892]}"
0000b107de66bce8c7c0,SAV,141,142,149,151,144,150,ZA-Kru,"{""type"":""Point"",""coordinates"":[31.496900000000007,-25.0197]}"
0000e52c3081f8cf0105,ENF,146,149,153,154,151,154,AU-ASM,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}"
0000fa9839a1e29b79f7,OSH,147,150,152,153,150,153,AU-TTE,"{""type"":""Point"",""coordinates"":[133.64,-22.28700000000001]}"
0000389de5d845f88b07,GRA,134,137,139,142,137,139,AU-Stp,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}"
0000db0a06ab6ff600fa,SAV,135,138,143,145,139,142,AU-GWW,"{""type"":""Point"",""coordinates"":[120.6541,-30.191299999999988]}"
00006e638c0efb9c8a66,WSA,132,134,146,149,142,144,AU-Gin,"{""type"":""Point"",""coordinates"":[115.71380000000002,-31.376400000000004]}"
000004250f30de102e1e,SAV,125,127,128,129,128,128,AU-Dry,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}"
00009fdfa98879bbff09,WSA,136,136,142,144,140,143,AU-RDF,"{""type"":""Point"",""coordinates"":[132.4776,-14.563599999999992]}"
0000b97b730d555ecaf9,GRA,152,153,153,153,155,152,AU-DaP,"{""type"":""Point"",""coordinates"":[131.31809999999996,-14.063299999999996]}"
00005027024e12185c47,SAV,130,131,133,133,134,131,AU-DaS,"{""type"":""Point"",""coordinates"":[131.38809999999998,-14.159299999999995]}"
0000557d838ee3d63df1,WSA,137,139,147,147,142,146,AU-Ade,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000004]}"
0000d58518c69654c754,WSA,112,115,124,120,121,121,AU-How,"{""type"":""Point"",""coordinates"":[131.1523,-12.4943]}"
000001aa37deb709687d,WET,143,145,154,149,152,151,AU-Fog,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}"
00000dc6a8d173fb4e34,EBF,112,113,121,122,121,120,MY-PSO,"{""type"":""Point"",""coordinates"":[102.3062,2.973]}"
0000e17fc3af1c7c50e6,ENF,115,119,142,143,128,138,CN-Qia,"{""type"":""Point"",""coordinates"":[115.05809999999997,26.7414]}"
0000309c2d3308b1a282,GRA,143,143,153,153,146,150,CN-Sw2,"{""type"":""Point"",""coordinates"":[111.89709999999998,41.7902]}"
0000f668be56ee5149ad,WET,120,127,144,146,133,139,CN-Ha2,"{""type"":""Point"",""coordinates"":[101.3269,37.6086]}"
000068cab18922cadd90,GRA,102,109,146,149,121,131,CN-HaM,"{""type"":""Point"",""coordinates"":[101.18,37.36999999999999]}"
0000c458d9ea53ff9503,EBF,98,99,113,114,108,109,CN-Din,"{""type"":""Point"",""coordinates"":[112.53609999999999,23.173299999999998]}"
000043ea0dfb82d7f7f6,GRA,138,139,150,150,145,147,CN-Dan,"{""type"":""Point"",""coordinates"":[91.06639999999999,30.497799999999987]}"
000067a9f50902bc9cfd,CSH,69,96,127,130,119,126,RU-Vrk,"{""type"":""Point"",""coordinates"":[62.94049999999999,67.0547]}"
00008bb0bf4d4bd9cc61,SNO,92,105,152,154,113,150,NO-Blv,"{""type"":""Point"",""coordinates"":[11.831100000000001,78.9216]}"
0000e510c5f90ba1cd50,WET,41,58,80,97,60,82,NO-Adv,"{""type"":""Point"",""coordinates"":[15.923,78.186]}"
00003a7832d214ef1b34,WET,84,106,134,138,116,131,FI-Lom,"{""type"":""Point"",""coordinates"":[24.209199999999992,67.9972]}"
00008657a82835a8a143,ENF,88,118,150,152,139,148,FI-Sod,"{""type"":""Point"",""coordinates"":[26.6378,67.3619]}"
0000b08522f1f7a26eee,WET,,,,,,,SE-St1,"{""type"":""Point"",""coordinates"":[19.0503,68.3541]}"
0000e9a8e7b3bce9544a,CRO,135,138,154,157,148,149,DK-Fou,"{""type"":""Point"",""coordinates"":[9.587199999999998,56.48420000000001]}"
00005e4095735cef50bf,GRA,148,148,164,166,156,158,DK-Eng,"{""type"":""Point"",""coordinates"":[12.191799999999997,55.690499999999986]}"
000089bd84f68cb5c9b4,DBF,135,136,156,161,143,150,DK-Sor,"{""type"":""Point"",""coordinates"":[11.6446,55.4859]}"
000096ef9e15f299500b,ENF,84,111,150,153,129,143,FI-Let,"{""type"":""Point"",""coordinates"":[23.95970000000001,60.641799999999996]}"
000008e770525312ecf9,CRO,110,122,151,155,139,149,FI-Jok,"{""type"":""Point"",""coordinates"":[23.513500000000008,60.8986]}"
0000feb1f20cc911819e,ENF,68,87,125,128,102,119,FI-Hyy,"{""type"":""Point"",""coordinates"":[24.295,61.8475]}"
00004c4c02923b88d3da,ENF,91,112,149,151,130,136,RU-Fyo,"{""type"":""Point"",""coordinates"":[32.9221,56.4615]}"
00005439ebbad8c25139,WET,130,131,151,156,141,145,DE-Spw,"{""type"":""Point"",""coordinates"":[14.033699999999993,51.892300000000006]}"
00006341baebb317ba66,GRA,112,117,151,152,127,142,DE-Gri,"{""type"":""Point"",""coordinates"":[13.5125,50.94950000000001]}"
